,허가번호,경도,위도,"주파수 대역
(MHz)",구분
1093,322015110033560,127.013047,127.175308,2600,기지국
1094,322015110033642,127.014756,127.175308,2600,기지국
1097,322015110038492,127.016036,127.175308,2600,기지국
1098,322015110039627,127.014275,127.175308,2600,기지국
1099,322015110044865,127.015186,127.175308,2600,기지국
1103,322015110054035,127.01865,127.175308,2600,기지국
1104,322015110054043,127.012061,127.175308,2600,기지국
1107,322015110058152,127.018767,127.175308,2600,기지국
1108,322015110058154,127.011347,127.175308,2600,기지국
1140,322016110002810,127.020253,127.175308,2600,기지국
1142,322016110005078,127.015658,127.175308,2600,기지국
1143,322016110007856,127.01345,127.175308,2600,기지국
1156,322016110012389,127.020167,127.175308,2600,기지국
1173,322016110030936,127.011572,127.175308,2600,기지국
1174,322016110033679,127.019311,127.175308,2600,기지국
1175,322016110034111,127.015881,127.175308,2600,기지국
1176,322016110035520,127.017331,127.175308,2600,기지국
1177,322016110035521,127.017331,127.175308,2600,기지국
1178,322016110041659,127.01395,127.175308,2600,기지국
1179,322016110042601,127.011053,127.175308,2600,기지국
1180,322016110042702,127.012844,127.175308,2600,기지국
1181,322016110042726,127.013497,127.175308,2600,기지국
1182,322016110042727,127.013497,127.175308,2600,기지국
1183,322016110043035,127.021819,127.175308,2600,기지국
1184,322016110043600,127.019808,127.175308,2600,기지국
1185,322016110043970,127.012028,127.175308,2600,기지국
1186,322016110043975,127.020139,127.175308,2600,기지국
1187,322016110043992,127.012128,127.175308,2600,기지국
1188,322016110044372,127.01345,127.175308,2600,기지국
1189,322016110044387,127.012875,127.175308,2600,기지국
1190,322016110044388,127.012875,127.175308,2600,기지국
1191,322016110044810,127.019808,127.175308,2600,기지국
1192,322016110045005,127.019069,127.175308,2600,기지국
1199,322016110046455,127.014925,127.175308,2600,기지국
1200,322016110046750,127.015869,127.175308,2600,기지국
1209,322016110051829,127.011925,127.175308,2600,기지국
1210,322016110052920,127.0119,127.175308,2600,기지국
1238,322016110072683,127.014767,127.175308,2600,기지국
1243,322016110077350,127.014972,127.175308,2600,기지국
1244,322016110077351,127.014972,127.175308,2600,기지국
1245,322016110078030,127.014972,127.175308,2600,기지국
1246,322016110078031,127.014972,127.175308,2600,기지국
1250,322016110082109,127.015986,127.175308,2600,기지국
1251,322016110082110,127.015986,127.175308,2600,기지국
1252,322016110082111,127.015986,127.175308,2600,기지국
1253,322016110082112,127.015986,127.175308,2600,기지국
1254,322016110082113,127.015986,127.175308,2600,기지국
1255,322016110082114,127.015986,127.175308,2600,기지국
1256,322016110082115,127.015986,127.175308,2600,기지국
1257,322016110082116,127.015986,127.175308,2600,기지국
1258,322016110082117,127.016114,127.175308,2600,기지국
1259,322016110082118,127.016114,127.175308,2600,기지국
1260,322016110082119,127.016114,127.175308,2600,기지국
1261,322016110082120,127.016114,127.175308,2600,기지국
1262,322016110082121,127.016114,127.175308,2600,기지국
1263,322016110082122,127.016114,127.175308,2600,기지국
1264,322016110082123,127.016114,127.175308,2600,기지국
1265,322016110082124,127.016114,127.175308,2600,기지국
1274,322016110085033,127.018778,127.175308,2600,기지국
1275,322016110085444,127.011386,127.175308,2600,기지국
1276,322016110085445,127.011386,127.175308,2600,기지국
1277,322016110085446,127.011386,127.175308,2600,기지국
1278,322016110085447,127.011386,127.175308,2600,기지국
1279,322016110085448,127.011386,127.175308,2600,기지국
1280,322016110085449,127.011386,127.175308,2600,기지국
1281,322016110085450,127.011386,127.175308,2600,기지국
1282,322016110085466,127.016064,127.175308,2600,기지국
1283,322016110085467,127.016064,127.175308,2600,기지국
1284,322016110085468,127.016064,127.175308,2600,기지국
1285,322016110085469,127.016064,127.175308,2600,기지국
1286,322016110085470,127.016064,127.175308,2600,기지국
1287,322016110085471,127.016064,127.175308,2600,기지국
1288,322016110085472,127.016064,127.175308,2600,기지국
1289,322016110086239,127.016214,127.175308,2600,기지국
1290,322016110086525,127.020719,127.175308,2600,기지국
1330,322017110023160,127.016339,127.175308,2600,기지국
1334,322017110027741,127.015942,127.175308,2600,기지국
1337,322017110028849,127.013975,127.175308,2600,기지국
1338,322017110028850,127.012958,127.175308,2600,기지국
1345,322017110033788,127.013181,127.175308,2600,기지국
1354,322017110039172,127.016233,127.175308,2600,기지국
1369,322017110043470,127.016061,127.175308,2600,기지국
1371,322017110045087,127.020672,127.175308,2600,기지국
1381,322018110010626,127.015919,127.175308,2600,기지국
1382,322018110013779,127.017331,127.175308,2600,기지국
1383,322018110014789,127.013989,127.175308,2600,기지국
1385,322018110025383,127.016064,127.175308,2600,기지국
1386,322018110028295,127.013569,127.175308,2600,기지국
1391,322018110033228,127.020672,127.175308,2600,기지국
1394,322018110040357,127.011372,127.175308,2600,기지국
1395,322018110040358,127.011372,127.175308,2600,기지국
1402,322018110046440,127.0119,127.175308,2600,기지국
1403,322018110046441,127.0119,127.175308,2600,기지국
1404,322018110046442,127.0119,127.175308,2600,기지국
1419,322018110059887,127.018117,127.175308,2600,기지국
1428,322018110066794,127.011144,127.175308,2600,기지국
1430,322018110068872,127.021447,127.175308,2600,기지국
1462,322019110022857,127.013606,127.175308,2600,기지국
1466,322019110023362,127.016131,127.175308,2600,기지국
1611,322022110004942,127.013553,127.175308,2600,기지국
